30,10,
1,9,8
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
10,0,1
10,1,1
10,2,1
10,3,1
10,6,1
10,7,1
10,8,1
10,9,1
1,9,1
2,9,1
3,9,1
4,9,1
5,9,1
6,9,1
7,9,1
8,9,1
9,9,1
11,3,1
12,3,1
13,3,1
14,3,1
15,3,1
16,3,1
17,3,1
18,3,1
19,3,1
20,3,1
11,6,1
12,6,1
13,6,1
14,6,1
15,6,1
16,6,1
17,6,1
18,6,1
19,6,1
20,6,1
20,7,1
20,8,1
20,9,1
20,0,1
20,1,1
20,2,1
21,9,1
22,9,1
23,9,1
24,9,3
25,9,1
26,9,1
27,9,1
28,9,1
29,9,1
21,0,1
22,0,1
23,0,1
24,0,1
25,0,1
26,0,1
27,0,1
28,0,1
29,0,1
29,1,1
29,2,1
29,3,1
29,4,1
29,5,1
29,6,1
29,7,1
29,8,1
29,9,1
5,2,2,2
