30,15,
2,9,6,25,7
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
0,11,1
0,12,1
0,13,1
0,14,1
1,14,1
2,14,1
3,14,1
4,14,1
5,14,1
6,14,1
7,14,1
8,14,1
9,14,1
10,14,1
11,14,1
12,14,1
13,14,1
14,14,1
15,14,1
16,14,1
17,14,1
18,14,1
19,14,1
20,14,1
21,14,1
22,14,1
23,14,1
24,14,1
25,14,1
26,14,1
27,14,1
28,14,1
29,14,1
29,13,3
29,12,1
29,11,1
29,10,1
29,9,1
29,8,1
29,7,1
29,6,1
29,5,1
29,4,1
29,3,1
29,2,1
29,1,1
29,0,1
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
10,0,1
11,0,1
12,0,1
13,0,1
14,0,1
15,0,1
16,0,1
17,0,1
18,0,1
19,0,1
20,0,1
21,0,1
22,0,1
23,0,1
24,0,1
25,0,1
26,0,1
27,0,1
28,0,1
29,0,1
20,1,1
22,4,1
24,3,1
28,7,1
23,10,1
23,12,1
27,11,1
26,7,1
28,8,1
29,14,1
22,7,1
10,8,1
11,7,1
12,3,1
12,10,1
12,13,1
13,12,1
12,11,1
15,7,1
19,8,1
17,3,1
13,1,1
14,10,1
15,10,1
16,10,1
2,10,1
3,12,1
5,13,1
4,13,1
9,12,1
7,10,1
7,8,1
7,6,1
3,2,1
1,11,1
5,5,2,2
3,13,2,4,
